,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
2020-05-13,126.54,158.87,106.73,55.72,117.56,133.37,126.63,160.47,107.77,117.63,160.68,141.98,121.44,122.21,129.01,127.91,123.7,126.89,119.88,122.4,116.33,90.14,110.71,131.63,99.46,114.26,168.28,126.58,114.47,109.37,124.89,118.25,209.7,120.31,120.35,119.65,136.44,128.65,128.74,116.76,113.16,122.96,121.32,145.93,134.79,105.48,139.37,144.95,131.27,124.76,162.45,118.24,123.31,98.74,44.63,88.83,138.35,142.19,62.15,8.53,135.83,127.01,123.04,139.13,130.66,136.49,118.7,125.8,153.06,139.71,121.72,120.34,114.0,103.58,119.32,111.15,137.78,134.12,118.51,90.53,18.75,112.61,118.62,113.1,133.3,126.55,136.35,128.7,121.05,126.06,126.85,122.33,123.21
2020-05-14,122.51,152.31,107.18,56.79,121.27,124.76,123.08,153.39,141.22,119.64,140.92,142.35,118.67,141.15,132.32,130.29,129.58,119.59,128.33,123.79,112.53,94.11,137.12,124.13,113.59,116.04,148.87,123.8,129.91,108.49,130.18,116.47,207.92,119.34,138.37,116.81,135.74,128.33,131.42,136.35,123.27,117.31,141.87,166.28,138.17,108.93,137.46,150.0,122.02,115.19,143.35,134.14,121.29,100.48,47.34,93.94,129.56,146.17,66.51,10.62,129.65,117.24,126.83,118.98,119.15,121.9,129.73,134.79,118.58,143.75,124.42,142.55,116.92,120.63,111.99,97.18,143.19,130.47,134.93,88.83,18.76,115.44,133.2,158.35,154.39,126.52,129.02,159.38,138.25,135.53,124.09,124.6,116.0
2020-05-15,144.39,188.14,122.86,60.64,138.82,144.61,144.34,190.22,115.3,132.73,172.81,159.51,132.19,150.45,142.7,136.21,130.83,138.23,134.34,147.67,126.97,104.73,128.62,148.67,119.16,140.41,172.3,151.03,134.69,121.22,142.25,131.62,219.24,132.74,143.56,136.12,147.48,148.03,142.82,137.05,146.7,147.44,135.37,150.33,152.95,108.18,161.2,164.64,155.25,144.18,200.33,141.44,136.04,115.49,50.47,111.61,160.73,159.82,68.32,10.76,159.49,141.95,140.69,145.45,120.64,154.52,131.3,135.7,151.76,162.98,133.59,139.09,134.76,117.77,138.23,139.79,183.42,166.82,123.63,98.92,22.0,129.94,139.77,142.99,145.69,142.58,136.11,143.95,146.95,140.07,137.8,154.32,138.35
2020-05-16,137.29,202.94,118.58,61.69,141.58,138.85,138.21,203.75,117.47,125.09,238.95,159.36,139.19,150.6,146.82,123.83,143.47,127.83,133.15,134.67,118.63,93.43,127.94,138.67,110.48,151.46,191.95,145.99,114.8,120.03,130.93,128.06,234.2,122.75,134.75,128.81,143.43,136.86,152.81,129.15,138.2,141.35,142.42,153.9,146.22,108.51,164.46,166.93,169.13,138.21,192.29,127.59,133.76,112.24,52.5,114.66,154.0,171.08,72.42,13.73,151.07,134.15,163.72,150.22,166.3,163.3,119.29,147.88,140.98,145.96,126.74,150.48,128.71,132.56,131.53,133.54,180.32,176.9,121.72,99.3,20.75,125.37,127.04,145.42,142.18,135.43,152.25,130.03,126.25,134.29,126.09,167.53,142.98
2020-05-17,92.36,113.65,84.88,49.01,102.17,87.87,92.52,115.09,88.6,93.62,171.59,115.16,94.0,114.23,104.17,89.17,87.7,89.27,100.56,114.31,90.98,70.24,93.42,88.89,82.31,108.98,151.45,105.82,95.15,89.88,107.85,91.47,163.86,95.39,105.79,91.35,110.51,102.11,99.5,100.15,117.99,88.97,101.83,105.15,108.35,76.63,110.21,96.04,113.59,99.89,137.88,94.97,99.1,80.1,40.86,80.55,109.53,112.1,51.12,7.79,105.81,97.78,109.53,91.62,101.71,107.67,103.26,106.66,95.03,113.2,98.55,131.39,94.22,87.3,90.18,95.3,122.93,133.24,93.66,71.93,16.83,94.59,92.71,99.66,97.89,103.31,103.32,110.91,100.42,101.95,87.72,133.0,91.21
2020-05-18,118.59,144.41,110.78,64.34,122.52,124.15,118.49,144.47,108.33,123.17,149.58,142.12,138.36,127.17,133.59,127.21,136.0,117.11,127.92,132.47,109.13,111.79,124.49,130.13,111.93,124.73,135.99,122.9,127.38,107.16,135.36,119.15,203.92,119.64,127.88,123.81,122.99,134.4,124.04,111.57,119.61,145.65,125.43,141.69,134.33,123.21,133.86,145.11,135.51,133.2,171.01,124.72,122.0,104.31,54.78,97.63,131.89,136.5,66.62,9.86,142.31,124.3,113.86,134.84,151.3,136.22,131.09,123.99,134.48,130.44,132.14,126.12,113.67,122.54,120.17,124.04,156.16,131.83,135.71,92.47,20.32,113.03,128.54,143.32,129.35,127.37,122.79,143.35,123.44,126.52,120.46,131.66,124.17
2020-05-19,127.3,164.8,111.08,60.06,121.31,135.22,127.24,164.5,105.32,132.4,146.57,135.36,130.21,135.23,132.32,125.87,125.13,132.28,134.46,123.62,111.29,101.16,131.39,138.16,115.84,134.71,142.35,129.37,135.65,112.61,120.83,120.0,201.82,121.06,137.61,124.34,129.26,137.61,135.17,115.39,126.24,132.65,132.32,139.2,133.96,110.63,146.0,159.98,142.31,131.89,169.32,132.58,122.09,104.16,51.54,95.57,145.68,131.13,64.83,10.36,145.91,124.76,124.62,136.01,123.01,138.35,130.71,134.23,144.65,139.87,125.39,132.58,119.12,120.16,125.86,125.49,152.85,146.49,130.23,93.1,19.41,114.29,135.93,149.87,129.79,130.99,124.55,153.31,128.84,124.82,117.9,131.46,130.05
2020-05-20,135.19,173.67,118.16,55.07,130.48,139.46,135.79,174.75,113.31,132.81,160.3,157.36,148.38,139.06,142.54,132.06,125.99,131.0,139.41,125.49,115.95,99.9,130.61,144.1,116.58,137.06,155.07,149.94,130.73,125.72,124.47,133.85,227.83,139.01,139.62,130.69,146.83,144.49,147.19,121.51,138.62,157.31,127.37,152.16,146.45,113.33,167.76,185.87,154.45,145.35,191.77,133.8,135.67,108.28,45.2,99.95,150.26,153.21,68.25,10.27,148.4,129.2,138.75,139.2,122.05,152.47,144.46,137.28,150.61,143.16,137.26,131.61,127.36,124.81,131.96,130.67,174.04,165.4,135.45,95.99,20.61,121.22,133.2,148.03,134.09,135.08,131.31,149.16,132.28,137.0,139.9,156.55,137.69
2020-05-21,143.0,191.51,124.86,58.08,141.96,155.84,143.95,194.02,125.81,141.88,171.78,148.44,144.69,149.9,159.13,131.91,141.36,147.37,149.11,145.89,122.05,96.91,136.47,150.08,124.51,151.82,179.63,141.59,140.78,129.86,144.44,142.69,259.86,142.95,146.02,139.07,175.8,145.06,147.9,149.79,149.56,142.42,143.2,164.04,153.04,120.34,171.67,160.21,168.97,151.16,195.66,149.22,137.77,114.43,48.11,107.5,154.35,156.57,69.4,10.35,160.31,146.68,147.48,144.32,134.08,160.26,156.52,153.15,157.95,148.71,134.75,168.67,136.37,133.04,140.36,143.7,163.16,203.7,133.45,98.32,20.57,123.16,138.97,158.61,145.34,145.44,156.39,157.26,136.98,148.88,145.12,161.53,159.9
2020-05-22,160.64,223.05,149.2,68.28,175.13,166.18,161.63,225.06,154.66,167.98,280.9,213.15,170.84,176.06,179.03,165.44,185.69,163.46,171.21,178.45,147.6,129.86,154.71,171.41,138.8,233.71,221.66,199.03,165.45,148.48,173.77,163.45,281.67,162.02,179.2,163.23,178.12,168.87,180.01,196.78,191.33,153.81,187.28,180.48,184.55,143.42,212.21,220.15,204.74,175.94,238.43,170.48,157.85,139.67,55.98,140.53,187.99,213.73,86.65,13.87,209.61,176.37,194.0,171.58,180.85,207.11,188.59,190.04,183.56,184.91,156.66,190.93,162.38,170.96,159.29,145.3,223.5,259.53,159.95,119.24,23.92,159.87,159.11,179.51,203.16,169.91,201.84,178.07,163.37,173.44,151.2,246.53,169.59
2020-05-23,140.29,205.26,122.83,60.89,146.59,139.41,140.8,207.36,135.76,128.51,373.0,205.2,152.75,153.23,171.6,142.89,144.28,153.58,161.32,164.44,119.78,89.76,150.37,144.78,112.14,201.0,314.33,198.12,141.5,130.89,165.54,130.55,221.02,130.75,174.26,133.3,157.56,149.13,178.17,154.23,166.43,119.55,185.45,176.83,160.9,126.34,203.15,233.97,209.38,160.52,225.79,156.55,139.4,116.68,51.35,123.66,179.82,205.65,82.76,12.47,190.68,147.75,164.25,172.23,202.82,177.91,161.74,173.31,156.42,176.78,141.51,159.04,134.05,158.2,142.39,142.14,208.65,297.17,145.87,103.2,19.54,130.46,136.61,156.93,184.01,149.51,171.19,155.99,151.65,143.88,137.39,227.04,156.5
2020-05-24,111.37,176.42,99.25,60.27,119.33,104.19,111.75,177.46,115.01,112.49,361.9,185.96,133.15,122.23,154.81,120.65,118.29,126.2,128.92,140.81,104.69,76.33,121.75,118.47,92.18,197.01,304.99,167.34,112.83,105.22,140.71,106.5,175.81,109.88,149.2,108.09,131.36,122.72,138.13,129.18,151.46,109.78,165.74,156.15,123.24,93.58,175.48,179.15,216.28,146.36,209.88,121.22,115.77,94.13,48.54,100.57,149.39,186.27,72.42,11.46,182.43,128.54,171.76,151.15,190.72,199.82,119.08,168.9,134.17,151.56,137.64,144.53,124.12,141.38,116.23,114.58,208.0,291.63,140.75,83.12,16.61,119.38,98.9,129.3,147.19,121.75,167.99,125.13,127.09,125.46,118.52,238.51,122.78
2020-05-25,103.83,161.38,98.17,56.16,122.55,105.7,105.11,162.22,116.94,118.51,310.82,156.39,139.45,124.38,141.32,123.22,113.21,124.26,125.8,149.66,99.01,77.39,113.55,109.85,89.65,163.01,258.37,143.66,117.93,103.09,133.87,106.03,194.7,108.5,133.43,108.69,126.61,119.69,145.04,130.98,155.79,104.93,138.7,130.15,123.87,97.26,164.81,215.8,191.63,130.22,178.99,118.62,110.9,92.37,46.19,100.81,148.95,175.56,69.29,10.69,162.6,126.16,172.73,139.65,192.72,164.9,122.34,158.72,109.48,140.25,147.68,155.81,131.13,118.9,108.19,115.29,194.66,238.51,134.67,84.41,21.68,120.33,99.82,121.33,146.84,119.72,153.24,127.83,127.16,119.84,102.35,213.21,121.42
2020-05-26,150.45,211.96,126.84,64.9,147.1,158.52,150.43,212.43,128.21,140.33,207.34,180.39,150.52,146.86,153.74,136.88,140.59,151.46,141.36,152.71,127.92,113.14,146.92,150.39,120.79,150.11,184.78,152.01,134.72,128.2,152.35,145.4,269.24,144.49,157.36,147.87,148.4,150.72,157.27,140.79,140.37,126.19,152.08,142.28,154.12,128.91,170.03,199.18,169.65,154.59,203.82,145.2,141.98,116.01,51.43,114.04,147.07,165.31,72.63,11.05,161.0,144.88,139.63,154.86,138.6,171.01,155.11,141.22,164.53,154.15,168.44,138.53,140.56,133.57,139.25,137.11,153.5,182.23,151.69,101.39,21.42,131.88,138.07,151.13,160.46,149.36,161.35,163.53,147.72,141.1,143.53,162.3,147.34
2020-05-27,146.01,203.52,125.68,67.68,147.12,140.75,146.21,206.22,121.56,135.84,178.93,159.29,155.85,144.56,168.65,136.46,139.73,140.5,150.93,151.06,130.42,119.23,167.83,150.5,125.34,138.63,162.4,145.92,134.3,132.82,136.65,143.34,247.59,141.33,142.8,142.77,157.12,147.44,160.72,131.9,146.15,142.06,155.41,158.39,155.7,130.61,166.24,182.26,163.06,151.19,198.9,140.06,139.03,115.67,55.12,113.64,155.04,163.69,72.36,10.44,164.49,136.0,172.02,153.35,137.34,164.33,147.12,140.5,146.64,166.49,137.93,134.45,132.32,146.39,141.1,137.16,155.88,171.67,135.36,100.39,21.55,137.87,137.3,135.52,132.95,152.36,164.59,153.39,136.0,139.98,146.39,160.52,139.11
2020-05-28,149.27,202.03,127.34,62.71,144.38,151.59,149.48,202.9,131.77,139.65,198.21,167.24,140.03,156.19,168.24,141.73,136.62,143.95,139.63,148.01,134.82,116.81,160.86,152.82,127.85,152.32,193.88,145.8,146.49,135.02,145.78,142.03,237.09,137.26,151.09,146.74,162.01,149.8,147.55,146.02,148.52,132.29,151.64,163.79,159.4,127.9,164.04,172.05,164.77,162.63,224.65,156.07,137.18,117.64,51.0,114.66,163.68,164.5,73.44,11.51,158.71,139.38,155.08,159.97,128.66,161.75,166.47,143.61,157.8,162.28,133.49,156.43,133.3,142.46,145.71,135.7,164.67,185.97,144.48,105.0,20.4,148.21,145.7,179.93,160.54,150.12,157.91,158.0,131.58,159.31,150.54,159.02,151.14
2020-05-29,170.59,227.43,146.06,69.84,181.54,168.87,171.61,229.38,153.94,157.05,258.33,191.46,168.78,166.59,187.28,160.77,157.44,164.63,160.05,177.52,142.94,119.81,170.56,178.27,136.99,199.86,223.35,179.3,155.08,147.06,174.63,164.08,282.78,152.73,172.2,163.87,173.44,173.44,188.28,158.78,172.27,170.49,162.97,169.35,182.64,142.44,192.74,238.63,201.3,190.68,251.43,158.56,153.16,135.29,57.16,151.15,195.67,206.57,83.36,13.89,195.5,160.48,177.32,182.46,165.11,196.5,175.65,177.28,175.54,189.28,153.96,180.85,154.7,157.07,165.51,168.53,203.82,236.43,174.2,117.93,23.04,179.78,163.7,167.17,186.29,167.22,186.27,178.35,156.84,192.68,164.4,203.73,164.66
2020-05-30,151.26,234.72,139.26,66.37,191.63,168.42,151.71,235.41,151.16,145.89,395.11,200.82,174.28,162.19,176.59,151.37,168.84,156.41,169.19,190.73,145.57,115.94,160.99,159.36,124.14,209.76,306.92,181.63,145.85,143.77,174.31,153.4,259.9,145.91,184.03,151.35,176.26,165.12,189.1,165.13,165.91,139.28,204.89,206.98,169.02,130.67,196.1,228.53,236.22,180.78,253.09,166.87,153.6,131.53,54.64,173.05,197.95,212.45,87.29,13.6,242.48,162.55,193.12,174.84,220.86,197.7,162.93,194.34,153.52,216.11,151.83,186.8,158.69,184.62,163.64,183.44,209.88,267.75,161.69,110.06,22.81,126.89,149.99,170.86,167.14,151.04,203.73,178.07,173.75,163.74,144.76,204.3,158.25
2020-05-31,111.12,154.77,98.63,53.97,117.76,116.77,111.56,156.57,117.89,118.17,337.91,152.97,135.29,128.84,145.14,120.47,119.48,113.36,136.41,156.77,102.98,80.68,121.91,108.55,97.1,150.11,256.44,134.73,111.02,105.9,136.38,115.34,202.93,111.7,150.56,114.77,135.98,120.95,149.32,141.22,155.54,111.48,160.19,154.57,128.6,99.48,140.63,147.24,185.76,133.15,169.29,129.71,116.24,89.23,44.15,95.14,147.78,173.32,71.11,10.2,182.98,122.53,169.81,121.18,180.7,157.84,130.43,158.89,123.24,162.34,124.13,151.27,121.91,134.11,115.98,110.25,169.29,211.47,127.19,89.21,23.5,125.89,105.35,102.94,127.33,116.59,165.08,137.01,136.28,124.96,115.65,178.27,108.17
2020-06-01,142.94,197.78,123.82,62.36,140.15,135.1,143.72,199.29,130.68,139.0,193.7,146.14,159.09,140.93,151.91,133.83,145.62,135.67,143.31,137.72,125.75,110.63,152.46,145.09,123.48,150.04,195.65,137.06,166.1,126.78,144.07,144.53,246.79,138.47,151.37,147.82,157.03,149.46,156.76,139.6,143.06,114.71,141.87,141.36,148.08,128.39,167.65,180.63,161.38,146.72,183.87,148.55,140.73,112.29,51.16,108.23,159.4,168.41,75.61,11.4,165.19,133.87,139.36,146.82,140.01,161.91,142.88,148.77,144.8,157.11,140.73,139.89,128.82,130.59,135.73,145.53,161.86,174.62,135.27,101.26,22.22,135.45,140.12,164.06,141.04,145.33,145.33,163.68,151.23,150.8,144.35,147.14,136.63
2020-06-02,150.45,189.59,131.8,65.21,145.75,142.37,152.31,192.55,135.76,144.67,213.26,181.43,171.38,147.0,138.63,146.71,141.55,147.4,141.44,150.55,135.07,107.34,159.75,157.9,128.62,139.56,197.26,147.61,164.56,130.1,148.56,153.84,257.96,151.26,154.38,150.9,193.03,153.22,153.6,132.93,158.24,142.06,148.58,163.7,155.96,138.2,185.63,205.98,182.86,175.02,223.81,150.37,145.86,120.15,54.48,113.54,169.94,169.64,80.2,12.06,175.67,150.43,139.81,152.63,138.31,211.47,144.02,163.02,139.76,167.03,160.91,148.16,143.06,142.4,146.91,145.48,171.45,184.94,140.05,105.89,22.31,145.54,143.2,149.87,139.37,142.74,166.93,158.23,166.04,172.46,147.98,169.4,154.41
2020-06-03,145.39,183.03,126.7,66.95,143.56,140.69,146.4,185.38,132.77,149.7,206.11,166.05,147.8,146.7,154.66,135.88,152.61,143.05,151.58,162.91,128.25,124.06,152.26,151.88,124.48,140.56,199.84,144.95,174.62,134.34,143.7,142.76,237.41,144.29,145.05,142.04,179.87,147.53,165.53,134.35,136.91,143.32,157.86,169.52,153.7,139.11,165.95,197.83,159.34,158.42,206.32,149.14,141.26,117.01,54.91,115.7,154.87,159.74,76.45,9.62,164.95,139.88,131.16,154.89,149.67,164.54,150.71,154.76,162.54,167.56,155.21,154.28,139.66,141.03,139.44,140.22,153.5,183.56,129.8,100.43,19.66,138.34,146.43,160.71,138.93,150.55,150.04,166.18,156.0,164.95,145.88,163.72,160.5
