date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-20,Morgan County,101,109,,,101,100
2020-02-20,Newton County,121,,,,102,
2020-02-20,Noble County,110,104,,,101,99
2020-02-20,Ohio County,,,,,108,
2020-02-20,Orange County,106,107,,,102,
2020-02-20,Owen County,102,103,,,103,
2020-02-20,Parke County,,102,,,100,
2020-02-20,Perry County,97,93,,,97,
2020-02-20,Pike County,,89,,,100,
2020-02-20,Porter County,102,101,101,95,102,99
2020-02-20,Posey County,112,115,,,104,
2020-02-20,Pulaski County,110,98,,,102,
2020-02-20,Putnam County,106,108,,,99,101
2020-02-20,Randolph County,101,89,,,103,101
2020-02-20,Ripley County,106,99,,,102,100
2020-02-20,Rush County,102,108,,,101,
2020-02-20,Scott County,103,109,,,101,101
2020-02-20,Shelby County,104,102,,103,103,101
2020-02-20,Spencer County,122,103,,,102,
2020-02-20,St. Joseph County,104,97,107,105,102,100
2020-02-20,Starke County,115,100,,,102,
2020-02-20,Steuben County,106,93,,102,101,100
2020-02-20,Sullivan County,93,100,,,103,
2020-02-20,Switzerland County,,96,,,100,
2020-02-20,Tippecanoe County,105,102,98,108,104,99
2020-02-20,Tipton County,105,94,,,104,
2020-02-20,Union County,,,,,107,
2020-02-20,Vanderburgh County,109,98,,,102,99
2020-02-20,Vermillion County,101,,,107,102,
2020-02-20,Vigo County,102,104,,102,102,100
2020-02-20,Wabash County,103,96,,,96,100
2020-02-20,Warren County,,,,,102,
2020-02-20,Warrick County,106,102,,,101,100
2020-02-20,Washington County,98,102,,,104,100
2020-02-20,Wayne County,100,96,,106,99,101
2020-02-20,Wells County,103,102,,,101,101
2020-02-20,White County,106,125,,98,102,99
2020-02-20,Whitley County,98,98,,,101,100
2020-02-21,,104,98,112,106,102,99
2020-02-21,Adams County,103,97,,,102,100
2020-02-21,Allen County,103,98,100,109,101,100
2020-02-21,Bartholomew County,105,99,,112,101,99
2020-02-21,Benton County,,,,,101,
2020-02-21,Blackford County,105,102,,,103,
2020-02-21,Boone County,102,98,,102,100,100
2020-02-21,Brown County,109,100,,,105,
2020-02-21,Carroll County,113,78,,,104,
2020-02-21,Cass County,106,95,,,102,101
2020-02-21,Clark County,102,116,114,100,102,100
2020-02-21,Clay County,99,90,,109,101,100
2020-02-21,Clinton County,98,95,,,102,99
2020-02-21,Crawford County,,84,,106,102,
2020-02-21,Daviess County,97,96,,,104,100
2020-02-21,Dearborn County,103,107,,,104,99
2020-02-21,Decatur County,103,103,,101,103,99
2020-02-21,DeKalb County,100,97,,,104,98
2020-02-21,Delaware County,106,96,,110,102,99
